id	AIM2	ARG1	CD4	CSF1R	F5	IER3	IL18R1	IL1R2	IRAK3	ORM1	RNASE2	S100A12	S100A9	SLPI	STK17B	TNFAIP6	TNFSF14	TPST1	VCAN	VNN1	Type
Train.GSE15573_GSM389711_Treat	3.79273144837952	4.78009431246193	4.44109463232357	4.26620051419589	4.52149628107608	4.46646195156017	4.66995229318465	3.96442985277998	3.67365899232404	3.78397481275959	1.09452111244063	1.8179047196767	5.22352789173086	0.39577394421465	5.07028707806424	4.12559079881297	4.66903162056474	4.61455102392695	3.32216309381367	1.80801648647901	1
Train.GSE15573_GSM389714_Treat	2.70306040591093	1.71124956427627	5.00059215281255	4.96225340899877	2.78582650769153	5.19256809076068	2.06994204253094	2.26851399105967	1.96232421487601	3.17583904693973	3.80212668215196	5.03023720606928	5.69727629972135	4.57825094898919	4.40435613472247	2.89303125440227	3.44158276702875	3.20881305755481	5.91412585311287	-0.233520574739311	1
Train.GSE15573_GSM389716_Treat	3.82279174972589	2.57020335308829	4.73346962869017	2.79789291412406	3.05418381441654	4.72587167190509	2.81745989808551	2.26536756665015	2.30096713147334	4.72930714797117	2.74971629611779	5.36654059709019	6.02190050648348	3.09136853940696	5.13083177423466	2.70904537566555	2.14171501978854	2.63169033313229	5.15566522822719	1.75518528832053	1
Train.GSE15573_GSM389717_Treat	4.3418992535654	3.18705586238245	3.56170887132959	2.91741686801052	2.92699236327622	4.88440425581421	3.73251480555421	3.4623108506171	2.82523148087634	3.10013537256271	2.49557409409016	6.30793534345684	7.06065556522162	4.533181581827	5.28352800368161	3.54913230535076	4.97870164347557	4.81466225763834	3.81678763658056	-0.0304623770576091	1
Train.GSE15573_GSM389719_Treat	1.64137934410676	1.39737673372949	5.95481198541512	6.25370718997362	3.67728412387694	4.60718955167032	2.07529375448734	2.0421598972712	2.03986587780794	3.55414419791394	2.60318754057182	3.0097136953911	5.81616243243609	2.18999371021755	4.41949128318175	0.98184326312277	3.18393665270637	2.71870262438958	5.32985086154954	-0.0261609882642972	1
Train.GSE15573_GSM389721_Treat	2.09477957345537	0.450509456010526	5.15702796835343	4.17319531974644	3.10910885048153	4.30940828701881	1.89849888643823	2.09689251296763	1.38976180068186	2.20648860623522	2.23504621972494	2.61523034844961	4.17550419894773	3.07670363182867	4.26302418896985	1.55864543822409	2.95854501967721	2.52726264267883	4.72416544252709	1.18299175668547	1
Train.GSE15573_GSM389722_Treat	3.84967107448449	3.39885443360838	5.11593951709093	3.9816442584353	3.81219782889168	5.15916722999264	3.69473110534077	4.99327960713453	4.19521570963078	4.4415070979729	2.59435241172397	3.61604694963478	5.85584114676161	3.79943876924766	4.90196259969592	3.06881111852963	4.32719352434739	4.55948894229404	4.78875612020326	2.16127739303115	1
Train.GSE15573_GSM389724_Treat	1.22972235476349	-0.000998935987387206	5.79060380043313	4.17817228470301	4.29919846764632	6.42494990000517	1.72518575308094	2.6376316338781	2.10658579861367	2.96186468714166	1.97719944061441	1.36489467581177	5.48090149804097	2.86757501060668	3.51287480447777	0.363135562317948	4.11239227019074	2.14173388082812	0.810502641076923	-0.537750312853021	1
Train.GSE15573_GSM389726_Treat	3.70067186624613	3.3200654304974	4.80203878329375	4.13144011965938	3.9247837082407	6.17350192739555	2.6111337818372	4.31056526704981	3.48459041730387	4.36999095927401	3.06633853167859	2.49697928287354	6.02190050648348	2.64805346715001	4.80791004517039	3.00837140334298	3.33533784677281	4.54828519655711	4.29887714116655	1.18462506017803	1
Train.GSE15573_GSM389727_Treat	2.86316762504526	0.988167574791802	4.76660999020602	5.39167921300116	2.5489062763669	3.94472330639207	2.12890823562935	1.67403398720128	1.73386244838938	2.23739026180862	3.21823933470177	3.68817438548598	4.97012055674384	2.0187138467304	4.64381014962946	3.03468323633804	2.84410664209709	2.50168953403462	5.80737900859791	1.23730857116765	1
