id	GSM3354765_Control	GSM3354767_Control	GSM3354769_Control	GSM3354771_Control	GSM3354766_Treat	GSM3354768_Treat	GSM3354770_Treat	GSM3354772_Treat
AC012360.6	6.06668652263172	4.7910309321023	1.94578516171504	2.59469750524	5.99357191765032	5.14653128104593	4.68084989307918	5.05954936387418
AC012499.1	3.18390787678701	1.26180556489393	2.42491390350556	4.64111826035155	4.42898830403893	4.41587866216914	1.07836921086961	1.53829149408579
AC012531.25	2.45281866282761	2.83624868717967	3.58373952645088	3.10945183662952	2.59374586671768	3.15160995879259	3.70839875330279	3.56284166034045
AC013463.2	4.53579463534803	5.54796540345192	6.10154871044019	5.44869690568228	5.64955182911174	4.56612415690691	2.85587068253436	5.41125746379439
AC013733.4	2.08438263680936	1.6369123500172	3.03792211937748	1.54451432388001	4.73493664238112	1.65116791888295	4.23913009088152	1.25093591771769
AC016831.7	4.23737714844805	5.73878871829901	5.23805867693019	2.61590092171783	5.32138554201012	5.10055642457112	3.65393270936587	4.78336369781698
AC016999.2	3.8342531318517	4.11526308464421	4.10202800428775	4.91362100150298	7.1024431447592	4.87958765784887	3.12556615251084	5.69517342543502
AC017002.2	5.47029789011918	5.37440249874098	4.70260750140373	3.80187924517995	5.22002517704516	5.19126203444957	5.93813784840639	5.41922187557277
AC017104.6	4.26091716097457	6.16309207094823	7.29486951787394	6.57851864319175	6.35450590666267	6.33589458962062	5.48420005127313	7.19019819027447
AC018462.2	4.83155471668127	5.40578316147556	5.89419376186583	5.69666549777275	4.49396612250107	6.33678743835475	5.33038563955534	6.01322472505385
AC018755.16	8.35499045383533	8.07764570141697	8.22012161618956	8.56240682036325	8.35545067861692	8.4384939062641	7.93000201653	8.16084569416736
AC018755.17	3.31395574894511	3.44069746847101	2.49868722611236	3.69996329830688	0.846881994507275	1.69642347034107	4.61160109361186	3.51061088951372
AC018766.6	1.9803698501718	4.67175254875926	2.56658708013104	3.31215882085365	3.07223981975587	3.47203370706459	2.38395129802358	1.94329805530444
AC018816.3	6.71486536880925	5.83634553002791	6.51966171245718	6.43286648027902	4.3407154887057	6.72713285733746	6.54593324319758	5.92785718083856
AC024560.2	4.80457561256633	5.24796127477908	5.61364978385573	4.6958896021081	4.97299442103056	4.94834809000236	5.50214633330951	5.42779943204899
AC025442.3	4.48398009988431	5.22760466586162	3.3934196729537	5.70644528911551	2.92625486687797	5.46933982397083	5.57422466798521	4.40807852733513
AC064852.4	4.22235223251428	1.94329805530444	3.13651414911903	4.16933571887643	1.43854502986176	1.90405205815666	5.03709675025515	2.78322634283419
AC067956.1	3.55798666023829	4.51743383137205	2.74484058088245	2.97752801171831	3.58915482954356	1.25990721182871	1.54132243736662	4.18036026110662
AC068039.4	5.84958582491824	5.36028267227334	5.95759418022905	5.69121241735819	4.79920597576578	5.01036003708197	3.71668504724394	4.84591990539769
AC068138.1	3.60801067139773	3.68347698491155	3.47887239246972	5.06436569399431	2.69221343268395	5.94312942688829	4.72973074066372	2.75783991555866
AC068831.3	3.5383135295855	3.07015497711254	5.41973908924926	2.27275914861734	2.56658708013104	2.44790626937912	1.90043709111406	2.20814263308577
AC069277.2	1.12035199248045	3.95980858150738	1.90524635959089	1.18526005272028	1.71053820602502	2.44790626937912	4.13356295231588	4.29108153028428
AC073283.7	5.37077523687646	4.07917948003058	3.19427880865115	4.42714250683194	3.96074164203212	2.94403454077609	5.30516628285512	5.87445213832908
AC073321.4	5.94088039394947	6.46017830971713	6.07025463675858	6.67434732268284	6.87264381599	5.83555618191888	6.56089158176196	6.77577786204388
AC074212.6	3.81864611637938	4.12211478692308	4.06661025559754	4.62827141028464	5.18254273067854	5.20413879301569	4.98267968179472	2.86498336755362
AC078842.4	5.1822491835754	4.22690919807968	3.13651414911903	3.71633213704762	3.138122721451	3.94958997497921	5.25287615591102	5.06980964626851
AC078883.3	5.48447363194091	4.16015112822773	5.67738081318619	3.47203370706459	5.20863902436746	3.42255622173418	4.05025471308228	5.42086829697647
AC079305.10	2.73268576821104	3.3471776051189	4.09404407549039	4.73821076473053	4.36544378840024	1.85614013854857	4.9347938075168	4.87894709049579
AC079741.2	4.68307367441457	2.41298850934177	5.37739507729322	4.00143825310731	5.35942847458439	5.37793606068071	4.69058101659687	2.71622867277563
AC079767.4	3.8932084392251	4.30828946107659	5.58959299764026	5.82185909271097	5.31751101272443	5.90801454099796	5.01934237584652	2.37809736671347
AC079807.4	3.34327493644535	2.68758077142069	1.70769819646251	1.85614013854857	3.21946956871708	4.85262046304092	4.48253004093968	2.11554808739217
AC083843.1	5.00200424070404	5.23510734105918	2.54033394120544	4.43613256328057	5.42601535075636	5.07579795140928	4.42202298533319	5.09756148460703
AC083949.1	4.63719371991192	5.77314388055951	5.02920856424815	5.20467081215106	5.58950037468393	3.80187924517995	4.57524437997823	4.79912397343992
AC084219.3	4.09348661946655	3.08718910784596	5.1048680287768	1.18526005272028	4.892787133443	2.63783621296868	4.67246874133258	4.31561473765796
AC087501.1	2.41791491772535	5.10005892021512	4.574782859376	1.52708212350956	1.84232627650622	3.65283409697753	4.65077651437258	2.58916201892868
AC090627.1	4.73131361089795	2.35601434727374	2.17654882443585	1.57173133124317	2.64154811262689	1.04399332993212	1.0351946639457	3.20690214898033
AC091133.1	8.58803914835841	7.65158252060229	6.80543577465346	7.69463812203935	7.57177791289751	8.30924874654169	7.36668378320205	8.30887879124433
AC091633.3	3.02026490855094	5.94090584779401	2.40793652689856	4.83189028787226	2.14424628066254	1.54765069650037	4.27557626369796	5.1048680287768
AC092155.4	2.38564461450332	4.1924443192532	4.56898267694052	2.30590904019748	5.18612621727693	2.3455574029349	4.18888041142638	3.10922514033303
AC092192.1	2.66585292841518	5.52496736502048	3.79214357096745	2.17863366707917	5.29580974067936	4.34113573581102	1.43854502986176	4.9950412804285
AC092620.2	3.77031750519923	3.16377556027741	2.54033394120544	4.67472607907762	5.7151223017619	2.1195906211437	2.17483262878083	1.68260516354564
AC092660.1	3.16911683683636	4.94900906404248	4.70746237142765	5.80398519342941	6.10270639397617	5.99032814775991	5.72832662250733	5.29508486968514
AC092667.2	2.88899481185975	1.43854502986176	4.65193701819425	1.18526005272028	3.01588490527504	4.96600596720713	1.68798875378213	3.95777558975009
AC099684.1	2.41791491772535	4.10184820853671	2.14638046983241	3.16644427490405	4.15560736199405	2.77340156874081	5.03012277613345	4.74682566556232
AC099850.1	7.15976782979034	6.67199091514895	6.20964250317339	6.30708174662648	6.57078701681858	7.2818294845285	6.87673223028281	6.68466106650463
AC100830.4	2.6461557382639	5.63073770017853	3.93664296559123	5.93594149627089	4.87425569405892	5.78592742598348	4.90600576161969	5.89096990062355
AC104537.2	3.16911683683636	4.47427245990813	4.92147300714779	2.73392520181917	2.61590092171783	1.90405205815666	2.58916201892868	2.01424262386231
AC104667.3	2.21861898717797	5.25685642637585	3.37221260147338	2.96158961507488	3.2827598942705	3.05957537812374	3.69544149356448	2.42972897520073
AC106801.1	5.79481512181952	4.88031581967514	3.31143481066712	5.10843151666263	5.24755817939735	2.99115713636435	6.90647792896378	5.55388982160945
AC108056.1	0.896748476555746	2.56495506102786	1.57784503130329	5.08003323507651	2.14424628066254	1.60747493096589	2.61444069608687	5.45032805835806
AC112198.1	7.72974769533238	6.57987058845389	5.45622216417304	6.23457239543594	7.54863577311623	6.29442678452989	6.48643387351055	6.71560763838354
AC114730.11	1.85614013854857	2.16637834362946	3.37221260147338	1.18526005272028	1.71053820602502	1.32079481658666	2.4380854218839	2.54364296762559
AC114752.3	0.846881994507275	2.68758077142069	4.89345591722059	2.30590904019748	3.21946956871708	4.56612415690691	3.55558244841385	2.54364296762559
AC124997.1	2.62695147274765	1.72657143725066	1.0351946639457	1.72039974400586	0.796458056434967	1.60747493096589	2.38395129802358	2.86498336755362
AC128677.4	6.83055929142345	6.1541604911913	8.0401221939549	6.64665759320542	6.62623606314905	5.59730731099196	8.24024762005234	5.78969793803349
AC136289.1	5.53717428122991	4.78225243818526	4.18392297382497	2.45281866282761	1.18526005272028	3.69246530318063	3.26968467870688	1.53829149408579
AC139100.2	6.8106902239879	4.34128440449947	4.21522292167158	5.88757535721708	4.1401311563132	4.21563633088196	5.85423405002536	5.59111214423462
AC139100.3	2.45281866282761	2.09745022633674	4.98846509205537	3.5842894811439	2.30413230779502	3.89802473865491	1.33522946876416	2.45339026546507
AC141928.1	6.21878299903273	5.87462628314158	5.58794056623846	4.8796408399459	6.16249698210481	5.31115763704502	4.97494136416897	6.21181564828312
AC144652.1	8.12817783568755	8.11743429163621	7.08194505400118	7.45069099337555	8.514844511646	7.91634842691434	6.89773060873192	7.99550799080629
AC145343.2	5.61469795641507	6.0171096969519	5.89646593716448	4.97775282704773	6.05819173774031	5.93947872018406	5.6751125533103	2.86498336755362
ACAA1	10.886114359102	10.9654087253264	10.7687727298479	10.7672787302388	10.7455300686659	10.9342482110009	10.6578907059097	10.8678429994316
ACAA2	10.0711412999383	10.0846207431132	9.89326881139345	9.90286138226729	10.1690306908199	10.0814438998301	9.949863622784	9.96098847413776
ACACA	9.59151113790071	9.85325281792846	9.80192123442043	8.69733969453363	9.51874514557078	9.75334265957541	9.51077920952918	9.31469643089925
ACACB	7.30072585216649	7.56858091853704	8.14174236306162	7.8138816670839	7.5207521169301	7.46021950004543	8.01234285713265	7.72293300258597
ACAD10	5.90285209223766	6.02266905126346	6.0667748203002	6.47537678885288	5.99949846702046	6.22589495688307	6.31463068766261	5.64058642588361
ACAD11	9.09152547089315	8.24447933651789	8.70249503406052	8.97614063927258	8.88971547631454	8.32745828500214	8.84502127984943	8.77617774774869
ACAD8	9.72623313517833	9.637940790918	9.62321288502958	9.70683153024969	9.63278397738633	9.67000439162627	9.73403645163021	9.76706420563924
ACAD9	9.79703453077123	9.7052698888558	9.7583881859933	9.78394819218087	9.72012854792089	9.70045831905646	9.57284753184108	9.63650776688591
ACADL	3.95410908073284	4.33444637645385	2.92282594654501	5.24796127477908	4.33530756171294	4.26066647651715	4.63995253410641	4.90750251464239
