id	GSM265436_Control	GSM265439_Control	GSM265445_Control	GSM389705_Control	GSM389707_Control	GSM389709_Control	GSM389710_Control	GSM389712_Control	GSM389713_Control	GSM389715_Control	GSM389718_Control	GSM389720_Control	GSM389723_Control	GSM389725_Control	GSM389728_Control	GSM389729_Control	GSM389732_Control	GSM389734_Control	GSM185531_Control	GSM185532_Control	GSM185533_Control	GSM185534_Control	GSM185535_Control	GSM185536_Control	GSM265020_Treat	GSM265036_Treat	GSM265361_Treat	GSM265363_Treat	GSM265366_Treat	GSM389703_Treat	GSM389704_Treat	GSM389706_Treat	GSM389708_Treat	GSM389711_Treat	GSM389714_Treat	GSM389716_Treat	GSM389717_Treat	GSM389719_Treat	GSM389721_Treat	GSM389722_Treat	GSM389724_Treat	GSM389726_Treat	GSM389727_Treat	GSM389730_Treat	GSM389731_Treat	GSM389733_Treat	GSM389735_Treat	GSM183695_Treat	GSM185526_Treat	GSM185527_Treat	GSM185528_Treat	GSM185529_Treat	GSM185530_Treat
RAPGEF1	9.549345	9.414592	9.112874	9.780362	9.293069	8.675316	9.173718	9.032524	8.387766	9.210249	8.570831	8.79077	8.366308	9.064232	8.936893	9.010786	9.030659	8.711457	9.016182	8.709723	9.272989	8.532343	9.062804	8.792777	6.690588	7.68111	8.8534	8.990547	8.512146	7.552579	8.650043	8.748698	7.890255	8.313968	8.322538	7.349817	7.83188	8.368389	8.906353	9.032524	9.975484	7.80207	7.75176	9.164296	9.50202	7.242246	7.106195	8.562346	8.124929	7.660392	8.639405	8.346974	8.356793
KCNJ15	6.520383	6.218113	6.257535	6.91369	6.082451	7.097761	7.038682	6.837285	7.197844	8.202494	6.525171	7.051687	8.182341	7.371237	6.602904	6.943694	7.838566	6.72151	7.421436	8.250215	7.751346	7.992231	7.087064	7.326664	7.874901	9.356919	9.168854	8.133488	7.542384	6.693949	7.259034	8.524193	7.41397	9.009028	7.720416	8.438869	9.275836	7.892177	6.939416	9.904128	9.149647	8.386345	7.952802	6.68941	8.610161	6.958417	8.072305	7.792531	7.833101	7.122114	7.368494	7.838931	7.718285
F5	6.015593	5.801146	6.084143	6.255796	5.854551	6.269673	5.890522	6.648778	5.958366	6.480435	5.114822	6.356245	6.258535	6.925338	5.714285	5.694966	7.418065	5.353473	6.086385	6.90576	6.672938	6.389943	6.897826	8.28011	5.843253	8.255581	8.344176	7.696356	6.289436	6.683531	6.036515	8.505802	6.843156	8.446075	6.900611	7.13956	7.026307	7.694377	7.188466	7.814506	8.248138	7.914754	6.689654	7.594275	8.786802	5.416084	7.203043	6.356504	7.033	6.194982	6.303959	6.514755	7.737878
RNASE3	7.177037	6.224331	6.900264	6.450038	6.965079	6.513717	6.75213	6.471327	6.366859	6.53476	6.612818	6.174349	6.419173	6.463299	6.73273	6.243879	6.150479	6.872626	6.7145	5.953351	7.43968	7.171132	7.196044	6.645906	7.555538	7.688847	7.731408	6.494389	6.427632	7.13853	7.51077	9.656308	7.990897	6.6472	8.395247	7.161647	8.697663	7.137589	6.626201	7.178808	8.056985	6.769808	7.287665	7.531961	6.797806	6.804463	6.826903	7.956548	7.780788	5.305801	6.914291	7.649642	7.522489
IL1R2	8.134668	8.154027	7.871961	8.610287	8.158523	8.561777	7.923172	8.37778	8.160627	8.62687	7.825907	8.065968	8.835695	8.517658	8.436705	8.768399	8.541281	7.584212	8.837212	8.838341	10.18062	9.067537	8.270359	8.053936	9.105056	9.842254	9.664123	9.070633	9.623089	10.059627	8.778941	11.429957	8.604925	10.33739	8.861614	8.858876	9.900449	8.664642	8.71227	11.232689	9.182818	10.638595	8.344301	8.348974	10.657251	7.847635	8.479501	9.931914	8.250335	7.651484	9.051838	9.292584	9.327896
SLC22A4	7.967954	7.219246	5.841914	7.425445	6.990004	7.42486	7.161697	7.366028	7.612325	8.076166	7.003673	7.83569	7.702737	7.250411	6.879899	6.973541	8.347452	7.265975	7.383495	7.40007	8.418814	7.591398	7.096647	7.05079	8.202706	8.503489	8.15947	8.404861	7.975641	6.603216	8.003117	8.510763	7.964027	9.058836	7.631774	7.852179	9.010825	7.060723	7.40906	8.579548	8.259433	7.862658	7.395373	7.846553	10.022614	7.254486	8.589948	9.106762	7.780629	7.519738	7.996448	7.47726	8.34014
CSF1R	10.786942	11.195257	10.918831	11.967182	10.706183	9.838422	9.948378	10.422904	10.063496	10.413189	9.93725	9.36249	10.21125	11.753757	10.143792	9.849997	10.002587	10.453916	10.150368	8.787131	9.831801	10.598449	9.87792	9.894069	8.655371	9.366137	9.430499	9.707934	9.439625	8.977202	9.531835	9.794373	9.875042	9.576589	10.002587	8.677956	8.751107	10.792982	9.519668	9.402435	9.522714	9.494113	10.265404	10.749299	9.313384	8.029674	9.549297	10.400662	10.107717	9.696544	9.62523	10.010426	9.735894
IRAK3	7.903385	8.406848	7.901223	8.078832	7.746982	8.213358	7.580299	8.293552	7.79225	7.958301	7.718201	7.84665	8.374746	8.138082	8.348734	7.886242	8.471621	7.447293	8.881911	7.833996	8.149811	8.341697	7.916023	7.436435	8.742595	7.848848	8.761731	8.297378	9.062494	9.110282	8.289888	9.835863	8.156129	9.478101	8.309457	8.540711	8.898723	8.362409	7.918463	9.834264	8.407971	9.348989	8.153444	7.482561	9.473927	7.898634	8.072217	9.434327	8.919516	7.423625	8.748631	8.38302	8.624749
RPL31	11.694002	11.927344	11.846976	10.365417	11.946871	11.88341	10.959412	11.935604	10.946286	10.953009	12.508949	11.410193	11.076951	11.376954	11.849212	10.67689	10.078407	10.92571	11.976981	12.127795	11.899228	11.765064	12.018837	11.906367	12.095025	12.177093	12.081506	12.081506	12.056077	13.799218	13.015813	11.554147	13.108182	10.828861	12.954109	13.678396	12.71949	12.074949	13.217541	11.236338	11.116308	13.742141	12.940279	10.99309	12.215501	14.045314	11.728427	11.873476	11.976981	12.127795	12.094085	12.106064	11.60159
TPST1	8.600192	6.76273	6.318981	7.993311	7.177442	7.778946	7.150583	7.673554	7.540157	7.528224	7.310889	7.252532	7.357532	7.725361	7.683943	7.731469	7.157863	7.033559	7.354121	7.304095	8.10766	8.335782	7.703145	7.603265	8.082193	7.537526	9.144498	8.21523	9.306919	8.416827	7.712506	10.325115	7.642999	9.958672	8.242363	7.537736	10.202994	7.643972	7.410237	9.891445	6.939533	9.877766	7.379014	7.410237	9.87095	7.57956	7.202909	8.180004	8.424666	7.715275	8.041804	8.725387	8.396136
